title,director,year,country,genres,image,synopsis,mubi_url,film_id
1917,Sam Mendes,2019,"United Kingdom, United States","Drama, War, Action",https://assets.mubicdn.net/images/film/209597/image-w448.jpg,"Two young British soldiers during the First World War, are given an impossible mission: deliver a message, deep in enemy territory, that will stop their own men, and Blake’s own brother, from walking straight into a deadly trap.",https://mubi.com/en/films/-1917,209597
1985,Yên Tân,2018,United States,"Drama, LGBTQ+",https://assets.mubicdn.net/images/film/179876/image-w448.jpg,"In 1980s Texas, a closeted young man returns home from New York for Christmas carrying a heavy secret. As he reconnects with his conservative family, he must navigate love, loss, and the fear of being truly seen—before it’s too late.",https://mubi.com/en/films/-1985,179876
36,Nawapol Thamrongrattanarit,2012,Thailand,"Drama, Avant-Garde",https://assets.mubicdn.net/images/film/103050/image-w448.jpg,"36 is the number of shots on an analogue roll of film. It’s also the number of shots in this film. Yet it’s not a strict film, but the playful quest of a young photographer for the photos that disappeared on her computer: a whole year’s worth, including one of a challenging encounter.",https://mubi.com/en/films/-36,103050
45365,"Bill Ross IV, Turner Ross",2009,United States,Documentary,https://assets.mubicdn.net/images/film/20753/image-w448.jpg,"With cameras in hand, directors Bill and Turner Ross return to their hometown of Sidney, Ohio—zip code 45365—for nine months. In this small town, the stories of a father and son, cops and criminals, officials and their electorate coalesce into a mosaic of faces, places, and events.",https://mubi.com/en/films/-45365,20753
8½,Federico Fellini,1963,"Italy, France","Drama, Fantasy, Comedy",https://assets.mubicdn.net/images/film/150/image-w448.jpg,"Struggling to find inspiration for his next project, acclaimed director Guido Anselmi wrestles with his dreams, memories and desires in his search for creativity. Blending visions with reality, his artistic crisis leads him down many a strange and twisted paths, as his life unravels around him.",https://mubi.com/en/films/-8,150
2046,Wong Kar Wai,2004,"Hong Kong, China","Drama, Romance, Sci-Fi",https://assets.mubicdn.net/images/film/90/image-w448.jpg,"Chow Mo-Wan was a writer. He thought he wrote about the future but it really was the past. In his novel, a mysterious train left for 2046 every once in a while. Everyone who went there had the same intention: to recapture their lost memories. It was said that in 2046, nothing ever changed.",https://mubi.com/en/films/-2046,90
100 Yards,"Xu Haofeng, Xu Junfeng",2023,China,"Drama, Action",https://assets.mubicdn.net/images/film/382255/image-w448.jpg,"In volatile 1920s Tianjin, a covert martial arts circle arose to deter crime and maintain peace between rival fighting arts schools. When a renowned master dies and names his apprentice—rather than his son—as his successor, a fierce power struggle will bring the entire city to the brink of chaos.",https://mubi.com/en/films/100-yards-2023,382255
2008,Blake Williams,2019,Canada,"Avant-Garde, Short, Documentary",https://assets.mubicdn.net/images/film/241641/image-w448.jpg,"Images of cherry blossoms, luminous fields bursting with color, and miscellaneous domestic ephemera are photographed from the screen of an obsolete televisual device.",https://mubi.com/en/films/-2008,241641
10/65: Self-Mutilation,Kurt Kren,1965,Austria,"Avant-Garde, Short",https://assets.mubicdn.net/images/film/33027/image-w448.jpg,"The film is developed from a Gunter Brus’ action. It exposes each gesture so that one gets a tense, iconoclastic revelation of a man covered in white plaster, surrounded by razor blades and a range of instruments looking as if they have been taken from an operating theater.",https://mubi.com/en/films/1065-self-mutilation,33027
12 Years a Slave,Steve McQueen,2013,"United States, United Kingdom","Drama, Biography, History",https://assets.mubicdn.net/images/film/106351/image-w448.jpg,"In the pre-Civil War U.S., Solomon Northup, a free Black man from New York, is abducted and sold into slavery. Solomon struggles to stay alive and retain his dignity, facing cruelty and unexpected instances of kindness. But his chance meeting with a Canadian abolitionist will forever alter his life.",https://mubi.com/en/films/12-years-a-slave,106351
BPM (Beats Per Minute),Robin Campillo,2017,France,"Drama, LGBTQ+",https://assets.mubicdn.net/images/film/170214/image-w448.jpg,"In the early 90s, as the AIDS epidemic tears through their community, the members of ACT UP Paris are fighting for survival. While battling against governmental apathy, pharmaceutical greed, and public ignorance, the activists party all night, debate politics—and occasionally fall in love.",https://mubi.com/en/films/120-battements-par-minute,170214
12/66: Cosinus Alpha,Kurt Kren,1966,Austria,"Avant-Garde, Short",https://assets.mubicdn.net/images/film/33028/image-w448.jpg,"Kren’s last film to include any direct reference to Otto Muehl is 12/66: Cosinus Alpha, a 10-minute film that completes a cycle of elaborate sensual montages and materials.",https://mubi.com/en/films/1266-cosinus-alpha,33028
10c/65: Brus Wishes You a Merry Christmas,Kurt Kren,1965,Austria,"Avant-Garde, Short",https://assets.mubicdn.net/images/film/34096/image-w448.jpg,A kind of home movie made in Brus’ apartment. Brus’ Christmas wishes can be seen on a poster which he painted and which he holds for a short time in front of the camera.,https://mubi.com/en/films/10c65-brus-wishes-you-a-merry-christmas,34096
12 Hours,Emre Mirza,2022,Turkey,"Drama, Short",https://assets.mubicdn.net/images/film/451863/image-w448.jpg,"During the height of the pandemic, Shirin returns to her family home to care for her dying, estranged father. Convinced he has hours to live, she summons her siblings—but her paranoia has already sealed him away. As buried conflicts resurface, an unexpected bond offers a fragile chance at healing.",https://mubi.com/en/films/12-hours-2022,451863
13 Assassins,Takashi Miike,2010,Japan,"Action, History",https://assets.mubicdn.net/images/film/32006/image-w448.jpg,"Shimada leads a team of assassins in 19th-century Japan to kill the ruthless Lord Matsudaira, who is wreaking havoc against his own people. Hired secretly by a government official hoping to end this reign of terror, Shimada recruits the best samurai to set a trap for the lord’s faithful bodyguards.",https://mubi.com/en/films/13-assassins,32006
12th Fail,Vidhu Vinod Chopra,2023,India,"Drama, Biography",https://assets.mubicdn.net/images/film/386639/image-w448.jpg,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.,https://mubi.com/en/films/12th-fail,386639
