"Title","Director","Year","Country","Synopsis","Image","TitleTreatment","Artwork","FocalX","FocalY","OurTake","TrailerURL","PreviewURL","Genres"
"The New Years","Rodrigo Sorogoyen","2024","Spain, France","It’s the early morning of January 1st, 2016. Óscar is feeling down: he’s gone to a nightclub with his ex-girlfriend, Vero, thinking he still has a chance with her. But he’s wrong. It’s the same nightclub where Ana works as a waitress. When the club closes, Ana and Óscar meet at a bar.","https://images.mubicdn.net/images/artworks/871418/cache-871418-1760112345/images-original.png","https://images.mubicdn.net/images/film/448214/cache-1088377-1760109597/image-w1280.jpg","https://images.mubicdn.net/images/artworks/871371/cache-871371-1760112258/images-original.png","0.52","0.38","","","","Drama"
"Twin Peaks: A Limited Event Series","David Lynch","2017","United States","My log has a message for you.","https://images.mubicdn.net/images/artworks/781884/cache-781884-1749750109/images-original.png","https://images.mubicdn.net/images/film/433459/cache-1036225-1747696370/image-w1280.jpg","https://images.mubicdn.net/images/artworks/777937/cache-777937-1747696451/images-original.png","0.5961","0.247525","","","","Drama, Fantasy, Thriller, Crime, Mystery"
"Mussolini: Son of the Century","Joe Wright","2025","United States, Italy","Mussolini has just founded the Fasces of Combat when D’Annunzio takes Fiume. Mussolini hopes to exploit the feat of his poet on the field.","https://images.mubicdn.net/images/artworks/845283/cache-845283-1752852355/images-original.png","https://images.mubicdn.net/images/film/444140/cache-1072239-1752852159/image-w1280.jpg","https://images.mubicdn.net/images/artworks/845267/cache-845267-1752852281/images-original.png","0.48","0.23","","","","Drama, Biography"
"Hal & Harper","Cooper Raiff","2025","United States","Hal and Harper’s childhood house is on the market, and Dad’s got even bigger news that’s about to send all three on a journey through time.","https://images.mubicdn.net/images/artworks/865970/cache-865970-1758810198/images-original.png","https://images.mubicdn.net/images/film/448206/cache-1082712-1757432851/image-w1280.jpg","https://images.mubicdn.net/images/artworks/865965/cache-865965-1758810182/images-original.png","0.7","0.3","","","","Comedy, Drama"
"The Decalogue","Krzysztof Kieślowski","1989","Poland","The Ten Commandments, exact and uncompromising, literally cast in stone, continues to provide a source of moral conflict in contemporary society. In the ten part epic masterpiece, The Decalogue, Krzysztof Kieslowski examines the dilemma of fundamental sin in the lives of ordinary Warsaw citizens.","https://images.mubicdn.net/images/film/2142/cache-9268-1745489543/image-w1280.jpg","https://images.mubicdn.net/images/film/2142/cache-9268-1745489543/image-w1280.jpg","https://images.mubicdn.net/images/film/2142/cache-9268-1745489543/image-w1280.jpg","0.584958","0.20297","","https://trailers.mubicdn.net/2142/optimised/720p-t-the-decalogue_en_us_1280_720_1488259560.mp4","","Drama"
"Self-Portrait as a Coffee-Pot","William Kentridge","2024","South Africa, United States","South African artist William Kentridge investigates life in the studio. He imagines his studio as an enlarged head, where multiple dialogues occur between the artist and himself. Kentridge begins interviewing his double. Soon, the whole studio is populated by Kentridge’s many selves.","https://images.mubicdn.net/images/artworks/877662/cache-877662-1761169187/images-original.png","https://images.mubicdn.net/images/artworks/723159/cache-723159-1729210212/images-original.png","https://images.mubicdn.net/images/artworks/764420/cache-764420-1742912614/images-original.png","0.961003","0.725248","","https://trailers.mubicdn.net/419520/optimised/1080p-t-self-portrait-as-a-coffee-pot-episode-1_en_us_1729185407.mp4","","Documentary"
"Fanny and Alexander (Television Version)","Ingmar Bergman","1983","Sweden, France","Through the eyes of sister and brother Fanny and Alexander Ekdahl, the many ups-and-downs of the extended Ekdahl family at the turn-of-the-twentieth-century are put on display in the director’s 312-minute, full length version, made for Swedish television.","https://images.mubicdn.net/images/artworks/932915/cache-932915-1772089288/images-original.png","https://images.mubicdn.net/images/film/626/cache-94416-1745491963/image-w1280.jpg","https://images.mubicdn.net/images/artworks/932876/cache-932876-1772089196/images-original.png","0.56","0.4","","https://trailers.mubicdn.net/626/optimised/720p-t-fanny-and-alexander-the-television-version_en_xx_320_256_626.mp4","","Drama, History"
"Agnes Varda: From Here to There","Agnès Varda","2011","France","Made as a miniseries for television, the project is based on the material filmed by Varda over two years as she travelled the globe—from Stockholm to St. Petersburg, Lisbon to Rio de Janeiro, Mexico City to Los Angeles—meeting with friends, artists, and fellow filmmakers.","https://images.mubicdn.net/images/artworks/908451/cache-908451-1769032980/images-original.png","https://images.mubicdn.net/images/film/116228/cache-95469-1745491988/image-w1280.jpg","https://images.mubicdn.net/images/artworks/303146/cache-303146-1621576131/images-original.png","0.388579","0.403465","","https://trailers.mubicdn.net/116228/optimised/720p-t-agnes-de-ci-de-la-varda_en_us_1459.326_1280_720_1618460354.mp4","","Documentary"
"Scenes from a Marriage (Television Version)","Ingmar Bergman","1973","Sweden","Ten years of Marianne and Johan’s relationship are presented. We first meet them ten years into their marriage. He is a college professor, she a divorce lawyer. They say that they are happily married but there is a certain detached aloofness in the way they treat each other.","https://images.mubicdn.net/images/artworks/933551/cache-933551-1772173281/images-original.png","https://images.mubicdn.net/images/film/44362/cache-34506-1772173104/image-w1280.jpg","https://images.mubicdn.net/images/artworks/933461/cache-933461-1772173141/images-original.png","0.49","0.47","","https://trailers.mubicdn.net/44362/optimised/720p-c-scenes-from-a-marriage-the-television-version_xx_xx_1280_1444_44362.mp4","","Drama"
"True Detective: Season One","Cary Joji Fukunaga","2014","United States","An anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.","https://images.mubicdn.net/images/artworks/944220/cache-944220-1773057812/images-original.png","https://images.mubicdn.net/images/film/129405/cache-112828-1745492353/image-w1280.jpg","https://images.mubicdn.net/images/artworks/944195/cache-944195-1773057797/images-original.png","0.48","0.31","","https://trailers.mubicdn.net/129405/optimised/720p-t-true-detective_en_xx_1280_1432_129405.mp4","","Mystery, Drama, Crime"
"Berlin Alexanderplatz","Rainer Werner Fassbinder","1980","West Germany","Hulking, childlike Franz Biberkopf is released from prison and vows to become an “honest soul;” however, he soon finds himself embroiled in Berlin’s criminal underworld, amid the corrosive urban landscape of Weimar-era Germany. A fifteen-hour TV series, based on Alfred Döblin’s 1929 novel.","https://images.mubicdn.net/images/artworks/133500/cache-133500-1621554104/images-original.png","https://images.mubicdn.net/images/film/839/cache-91090-1745491868/image-w1280.jpg","https://images.mubicdn.net/images/artworks/133500/cache-133500-1621554104/images-original.png","0.511142","0.418317","","https://trailers.mubicdn.net/839/optimised/720p-t-berlin-alexanderplatz_en_us_1574872769.mp4","","Crime, Drama"
"Cosmos","David Oyster, Richard Wells, Tom Weidlinger, David Kennard, Geoffrey Haines-Stiles, Gregory Andorfer","1980","United States","Astronomer Carl Sagan leads us on an engaging guided tour of the various elements and cosmological theories of the Universe.","https://images.mubicdn.net/images/film/23369/cache-15436-1745489769/image-w1280.jpg","https://images.mubicdn.net/images/film/23369/cache-15436-1745489769/image-w1280.jpg","https://images.mubicdn.net/images/film/23369/cache-15436-1745489769/image-w1280.jpg","0.5","0.0","","https://trailers.mubicdn.net/23369/optimised/720p-t-cosmos_xx_xx_640_433_23369.mp4","","Documentary"
"Blossoms Shanghai","Wong Kar Wai","2023","China, Hong Kong","Young and inexperienced Ah Bao begins his transformation into Mr. Bao, a prosperous entrepreneur and the star attraction of Huanghe Road. But success breeds enemies, and when a hit and run on New Year’s Eve puts him in the hospital, it’s up to his friend Ling Zi to discover who is behind the attack.","https://images.mubicdn.net/images/artworks/917106/cache-917106-1770306254/images-original.png","https://images.mubicdn.net/images/film/442900/cache-1109912-1769020624/image-w1280.jpg","https://images.mubicdn.net/images/artworks/917102/cache-917102-1770306234/images-original.png","0.58","0.38","","","","Drama"
"O.J.: Made in America","Ezra Edelman","2016","United States","The rise and fall of American football star, O.J. Simpson, from his days growing up in Los Angeles to his murder trial that polarized the country.","https://images.mubicdn.net/images/film/149605/cache-126215-1745492639/image-w1280.jpg","https://images.mubicdn.net/images/film/149605/cache-126215-1745492639/image-w1280.jpg","https://images.mubicdn.net/images/film/149605/cache-126215-1745492639/image-w1280.jpg","0.5","0.0","","https://trailers.mubicdn.net/149605/optimised/720p-t-o-j-made-in-america_en_us_1280_720_1470190348.mp4","","Documentary"
"Band of Brothers","Phil Alden Robinson, Richard Loncraine, Mikael Salomon, David Nutter, Tom Hanks, David Leland, David Frankel, Tony To","2001","United States, United Kingdom","Drawn from interviews with survivors of Easy Company, as well as their journals and letters, Band of Brothers chronicles the experiences of these men from paratrooper training in Georgia through the end of the war.","https://images.mubicdn.net/images/artworks/983392/cache-983392-1777302759/images-original.png","https://images.mubicdn.net/images/film/39418/cache-29319-1745490252/image-w1280.jpg","https://images.mubicdn.net/images/artworks/983380/cache-983380-1777302715/images-original.png","0.42","0.28","","https://trailers.mubicdn.net/39418/optimised/720p-t-band-of-brothers_xx_xx_640_573_39418.mp4","","Drama, War, Action, History"
"Chernobyl","Johan Renck","2019","United States, United Kingdom","In April 1986 an explosion at the Chernobyl nuclear power plant in the USSR becomes one of the world’s worst man-made catastrophes.","https://images.mubicdn.net/images/artworks/934592/cache-934592-1772256973/images-original.png","https://images.mubicdn.net/images/film/231066/cache-418317-1745495861/image-w1280.jpg","https://images.mubicdn.net/images/artworks/934542/cache-934542-1772256941/images-original.png","0.38","0.41","","https://trailers.mubicdn.net/231066/optimised/720p-t-chernobyl_en_us_409.934_1280_720_1552433107.mp4","","Drama, History"
"World on a Wire","Rainer Werner Fassbinder","1973","West Germany","Somewhere in the future, a computer project called Simulacron is able to simulate a full featured reality. When project leader Henry Vollmer suddenly dies, his successor Dr. Fred Stiller experiences odd phenomena. There has to be someone behind all this. Could Simulacron be the one responsible?","https://images.mubicdn.net/images/artworks/142131/cache-142131-1621555334/images-original.png","https://images.mubicdn.net/images/film/23685/cache-41006-1745490710/image-w1280.jpg","https://images.mubicdn.net/images/artworks/142131/cache-142131-1621555334/images-original.png","0.5","0.398515","","https://trailers.mubicdn.net/23685/optimised/720p-t-world-on-a-wire_640w_700.m4v","","Mystery, Sci-Fi, Crime"
